DATE,2G JAKARTA RAYA,2G JAVA,2G KALISUMAPA,2G SUMATERA,2G NATIONAL,2G JAKARTA RAYA MW,2G JAVA MW,2G SUMATERA MW,2G NATIONAL MW,2G JAKARTA RAYA SP,2G JAVA SP,2G KALISUMAPA SP,2G SUMATERA SP,2G NATIONAL SP,2G Blended 75 Sites MW,2G Blended 75 Sites SP,2G Blended 75 Sites,4G JAKARTA RAYA,4G JAVA,4G KALISUMAPA,4G SUMATERA,4G NATIONAL,4G JAKARTA RAYA MW,4G JAVA MW,4G SUMATERA MW,4G NATIONAL MW,4G JAKARTA RAYA SP,4G JAVA SP,4G KALISUMAPA SP,4G SUMATERA SP,4G NATIONAL SP,4G Blended 75 Sites MW,4G Blended 75 Sites SP,4G Blended 75 Sites,Threshold
1-Jul-25,0.993589985,0.99791192,0.996562433,0.991706181,0.994625798,0.992865191,0.998512107,0.995576984,0.994874878,0.996687682,0.996891642,0.996562433,0.990030744,0.994217352,0.970101881,0.998193563,0.977060904,0.998131796,0.998995231,0.998334338,0.998136651,0.9983769,0.997951477,0.998946231,0.998667295,0.998294789,0.999115548,0.999110788,0.998334338,0.997842485,0.998563151,0.99008509,0.998441023,0.991491225,0.997
2-Jul-25,0.993009614,0.997540704,0.994869321,0.987198613,0.993258028,0.992206684,0.998048745,0.994457929,0.994232252,0.996442542,0.996675344,0.994869321,0.984016491,0.991656997,0.990418339,0.991202192,0.990612517,0.997685964,0.998984966,0.998377187,0.996994445,0.997942443,0.997394841,0.999047616,0.998561615,0.997963669,0.999273437,0.998837146,0.998377187,0.996119036,0.99789418,0.996779623,0.993567617,0.996247341,0.997
3-Jul-25,0.991965457,0.996393835,0.994007708,0.98885514,0.992750558,0.9911543,0.996988422,0.994708553,0.99330562,0.995433664,0.995380936,0.994007708,0.986339701,0.991839832,0.981307616,0.973000112,0.979249665,0.997246785,0.998333677,0.998234426,0.996890271,0.997512421,0.997050187,0.99865222,0.998996178,0.99767616,0.998320153,0.997582131,0.998234426,0.995715971,0.997140357,0.989060859,0.992348558,0.989599267,0.997
4-Jul-25,0.993625583,0.997543482,0.996005445,0.991631449,0.994492781,0.992727117,0.997632902,0.994834457,0.994449486,0.997467891,0.997391183,0.996005445,0.990225301,0.994563974,0.989628378,0.996262634,0.991271811,0.997698734,0.998605158,0.998443873,0.997813421,0.997991242,0.997405085,0.998844621,0.998898748,0.997944025,0.999301526,0.998040216,0.998443873,0.997211869,0.998098359,0.997685303,0.997579151,0.997667749,0.997
5-Jul-25,0.993123882,0.998060627,0.993079569,0.989560531,0.993888489,0.992459385,0.998456438,0.992046455,0.994263207,0.995965203,0.997386618,0.993079569,0.988469057,0.993272357,0.983839928,0.98076082,0.983077157,0.997678978,0.998954454,0.997634523,0.997602283,0.998016534,0.997464079,0.999100045,0.998221854,0.997990612,0.998853621,0.998611043,0.997634523,0.997257049,0.998075473,0.995052342,0.984174212,0.9932465,0.997
6-Jul-25,0.993235356,0.99682399,0.994698293,0.990981287,0.993915344,0.992853571,0.997470917,0.991651935,0.994152809,0.994868273,0.995722331,0.994698293,0.990686763,0.993524765,0.981036854,0.994945654,0.984482419,0.997442466,0.998730867,0.997762837,0.998234383,0.997948382,0.997190738,0.998948589,0.999122523,0.997858093,0.998821296,0.998217003,0.997762837,0.997741832,0.998153646,0.986943295,0.996108369,0.98846333,0.997
7-Jul-25,0.992828274,0.996740554,0.99768241,0.991788901,0.993981414,0.991988179,0.997607157,0.991175186,0.993635238,0.996419877,0.995264696,0.99768241,0.992058332,0.994550624,0.968346068,0.999541608,0.976033637,0.997087023,0.998391048,0.998049446,0.99856308,0.99773909,0.996760182,0.99875097,0.998799475,0.997504587,0.99886793,0.997541403,0.998049446,0.998432131,0.998270164,0.978118439,0.999583333,0.981708024,0.997
8-Jul-25,0.99272217,0.99708499,0.996401471,0.987755476,0.993163232,0.99183562,0.996506341,0.990304983,0.993118272,0.996511966,0.998071133,0.996401471,0.98663183,0.993237278,0.977132571,0.996357788,0.981836253,0.997378292,0.998411262,0.998062926,0.997119669,0.997637948,0.997078857,0.998179978,0.997953072,0.997466957,0.999009979,0.998956336,0.998062926,0.996657221,0.998025634,0.996534461,0.986738824,0.994890618,0.997
9-Jul-25,0.992460059,0.996751525,0.985917791,0.988822373,0.992778634,0.991712109,0.996513223,0.993260197,0.993345901,0.995654796,0.997157362,0.985917791,0.986857286,0.991843161,0.949543595,0.969214778,0.954373265,0.997152409,0.997975682,0.997690598,0.99699731,0.997368219,0.996826537,0.997872842,0.998817624,0.997302099,0.998928609,0.998218534,0.997690598,0.995983711,0.997518228,0.964536094,0.968992023,0.96528096,0.997
10-Jul-25,0.994465969,0.99621993,0.994496318,0.989782112,0.994039808,0.994002647,0.99515841,0.991547805,0.994110382,0.996448547,0.998028236,0.994496318,0.989002345,0.993923404,0.988238822,0.932146155,0.974466997,0.998237252,0.99794395,0.997871875,0.997351906,0.99798798,0.998046008,0.99755333,0.99824511,0.997926642,0.999281861,0.998864975,0.997871875,0.996855736,0.998127187,0.993694675,0.987574818,0.992718106,0.997
